replicaID,rpID,appID,funcID,busyTime,upTime,reqsProcessed,lastWorkTS,shutdownTS
2024-08-09 17:12:20.5836952 -0300 -03 m=+140.647828401,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,935.7069999999999,0,11,1117600.7897798999,0
2024-08-09 17:12:20.5846967 -0300 -03 m=+140.648829901,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,475.91200000000003,0,6,1116864.08371711,0
2024-08-09 17:12:20.5846967 -0300 -03 m=+140.648829901,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,900.567,0,13,1117491.7943160501,0
2024-08-09 17:12:20.5856902 -0300 -03 m=+140.649823401,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,289.895,0,3,1116679.1758129601,0
2024-08-09 17:12:20.5856902 -0300 -03 m=+140.649823401,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,902.1639999999998,0,18,1117485.3292601102,0
2024-08-09 17:12:20.5856902 -0300 -03 m=+140.649823401,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,461.06800000000004,0,4,1116850.35038805,0
2024-08-09 17:12:20.5866847 -0300 -03 m=+140.650817901,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,442.963,0,6,1116851.73997808,0
2024-08-09 17:12:20.5866847 -0300 -03 m=+140.650817901,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,1130.967,0,15,1117594.35243106,0
2024-08-09 17:12:20.5866847 -0300 -03 m=+140.650817901,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,433.983,0,4,1116830.75152612,0
2024-08-09 17:12:20.5866847 -0300 -03 m=+140.650817901,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,319.475,0,4,1116710.72829199,0
